,doc_hdr_id,doc_typ_nm,doc_crte_dt,crte_dt,doc_mdfn_dt,actn_rqst_cd,prncpl_nm,grp_nm,qual_role_nm,fld_nm,fld_val
43,25635849,UGS-MAAdvancedDegree.ParentDoctype,23-Jan-14,01-Apr-14,23-Jan-14,A,iaareces,0,0,department,IN-ECON
44,25635849,UGS-MAAdvancedDegree.ParentDoctype,23-Jan-14,01-Apr-14,23-Jan-14,A,iaareces,0,0,major,IN-ECONMA
45,25904472,UGS-MAAdvancedDegree.ParentDoctype,04-Feb-14,01-Apr-14,11-Feb-14,A,avrua,0,0,campus,IN
46,25904472,UGS-MAAdvancedDegree.ParentDoctype,04-Feb-14,01-Apr-14,11-Feb-14,A,avrua,0,0,department,IN-PHIL
47,25904472,UGS-MAAdvancedDegree.ParentDoctype,04-Feb-14,01-Apr-14,11-Feb-14,A,avrua,0,0,major,IN-PHILMA
48,26026823,UGS-MAAdvancedDegree.ParentDoctype,10-Feb-14,13-May-15,10-Feb-14,A,amnscott,0,0,campus,IN
49,26026823,UGS-MAAdvancedDegree.ParentDoctype,10-Feb-14,13-May-15,10-Feb-14,A,amnscott,0,0,department,IN-SPAN
50,26026823,UGS-MAAdvancedDegree.ParentDoctype,10-Feb-14,13-May-15,10-Feb-14,A,amnscott,0,0,major,IN-SPANMAT
51,26213131,UGS-MAAdvancedDegree.ParentDoctype,16-Feb-14,09-Jan-15,16-Feb-14,A,mmateuma,0,0,campus,BL
52,26213131,UGS-MAAdvancedDegree.ParentDoctype,16-Feb-14,09-Jan-15,16-Feb-14,A,mmateuma,0,0,department,BL-SPHS
53,26213131,UGS-MAAdvancedDegree.ParentDoctype,16-Feb-14,09-Jan-15,16-Feb-14,A,mmateuma,0,0,major,BL-SPHSMA
54,27870208,UGS-MAAdvancedDegree.ParentDoctype,22-Apr-14,24-Apr-14,22-Apr-14,A,0,UGS.BL.MAAdvDeg.SPHS2,0,campus,BL
55,27870208,UGS-MAAdvancedDegree.ParentDoctype,22-Apr-14,24-Apr-14,22-Apr-14,A,0,UGS.BL.MAAdvDeg.SPHS2,0,department,BL-SPHS
56,27870208,UGS-MAAdvancedDegree.ParentDoctype,22-Apr-14,24-Apr-14,22-Apr-14,A,0,UGS.BL.MAAdvDeg.SPHS2,0,major,BL-SPHSMA
57,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,campus,BL
58,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,department1,BL-LAW
59,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,department2,Select
60,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,major1,BL-LAWSSPHD
61,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,major2,
62,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,concentration1,Law and Democracy 
63,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,concentration2,
64,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,minor1,BL-POLSGMIN
65,31570762,UGS.Candidacy.Doctype,10-Sep-14,07-Apr-16,10-Sep-14,A,jjhenriq,0,0,minor2,Select
66,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,vgucht,department1,BL-CSCI
67,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,ehaghver,department1,BL-CSCI
68,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,vgucht,department2,Select
69,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,ehaghver,department2,Select
70,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,vgucht,major1,BL-CSCIPHD
71,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,ehaghver,major1,BL-CSCIPHD
72,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,vgucht,major2,Select
73,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,ehaghver,major2,Select
74,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,vgucht,minor1,Statistics/Machine Learning
75,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,ehaghver,minor1,Statistics/Machine Learning
76,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,vgucht,minor2,
77,32669626,UGS.Committee.Doctype,17-Oct-14,23-Oct-14,17-Oct-14,A,0,0,ehaghver,minor2,
78,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,campus,BL
79,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,department1,BL-GEOG
80,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,department2,Select
81,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,major1,BL-GEOGPHD
82,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,concentration1,
83,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,concentration2,
84,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,minor1,BL-STATSCIMIN
85,32752173,UGS.Candidacy.Doctype,21-Oct-14,21-Oct-14,21-Oct-14,A,0,UGS.BL.Candidacy.GEOG1,0,minor2,Select
86,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,campus,IN
87,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,department1,IN-INFO
88,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,department2,Select
89,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,major1,IN-INFOPHDP
90,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,major2,
91,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,concentration1,
92,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,concentration2,
93,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,minor1,Interdisciplinary
94,32775798,UGS.Candidacy.Doctype,21-Oct-14,23-Jun-15,22-Oct-14,A,0,0,xiniu,minor2,Select
95,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,campus,IN
96,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,department1,IN-MNEU
97,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,department2,Select
98,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,major1,IN-MNEURSPHD
99,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,major2,
100,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,concentration1,
101,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,concentration2,
102,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,minor1,Individualized
103,33227112,UGS.Candidacy.Doctype,05-Nov-14,23-Jan-15,05-Nov-14,A,0,0,goxford,minor2,Select
104,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,campus,IN
105,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,department1,IN-EDUC
106,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,department2,Select
